#ChipID p1A p1B p1C p1D q1A q1B q1C q1D q1E q1F q1G q1H r1A r1B r1C r1D r1E
0 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 -12.05733981 0.2279244847 2.234467596 0.01890000416 0.999821379 0.2279244847 12.05733981 -0.6181127258 0.999821379 -0.01890000416
1 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 -9.043004858 0.1709433635 2.234467596 0.01890000416 0.999821379 0.1709433635 9.043004858 -0.6181127258 0.999821379 -0.01890000416
2 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 -6.028669905 0.1139622424 2.234467596 0.01890000416 0.999821379 0.1139622424 6.028669905 -0.6181127258 0.999821379 -0.01890000416
3 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 -3.014334953 0.05698112118 2.234467596 0.01890000416 0.999821379 0.05698112118 3.014334953 -0.6181127258 0.999821379 -0.01890000416
4 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 0 0 2.234467596 0.01890000416 0.999821379 0 0 -0.6181127258 0.999821379 -0.01890000416
5 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 3.014334953 -0.05698112118 2.234467596 0.01890000416 0.999821379 -0.05698112118 -3.014334953 -0.6181127258 0.999821379 -0.01890000416
6 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 6.028669905 -0.1139622424 2.234467596 0.01890000416 0.999821379 -0.1139622424 -6.028669905 -0.6181127258 0.999821379 -0.01890000416
7 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 9.043004858 -0.1709433635 2.234467596 0.01890000416 0.999821379 -0.1709433635 -9.043004858 -0.6181127258 0.999821379 -0.01890000416
8 1.373265019 -0.02595935146 -2.990593191 0.05653232162 0.575770871 -2.245750806 1 12.05733981 -0.2279244847 2.234467596 0.01890000416 0.999821379 -0.2279244847 -12.05733981 -0.6181127258 0.999821379 -0.01890000416
9 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 -10.55592482 -5.831281511 2.234467596 -0.4835428057 0.8753207155 -5.831281511 10.55592482 -0.6181127258 0.8753207155 0.4835428057
10 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 -7.916943615 -4.373461133 2.234467596 -0.4835428057 0.8753207155 -4.373461133 7.916943615 -0.6181127258 0.8753207155 0.4835428057
11 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 -5.27796241 -2.915640756 2.234467596 -0.4835428057 0.8753207155 -2.915640756 5.27796241 -0.6181127258 0.8753207155 0.4835428057
12 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 -2.638981205 -1.457820378 2.234467596 -0.4835428057 0.8753207155 -1.457820378 2.638981205 -0.6181127258 0.8753207155 0.4835428057
13 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 0 0 2.234467596 -0.4835428057 0.8753207155 0 0 -0.6181127258 0.8753207155 0.4835428057
14 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 2.638981205 1.457820378 2.234467596 -0.4835428057 0.8753207155 1.457820378 -2.638981205 -0.6181127258 0.8753207155 0.4835428057
15 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 5.27796241 2.915640756 2.234467596 -0.4835428057 0.8753207155 2.915640756 -5.27796241 -0.6181127258 0.8753207155 0.4835428057
16 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 7.916943615 4.373461133 2.234467596 -0.4835428057 0.8753207155 4.373461133 -7.916943615 -0.6181127258 0.8753207155 0.4835428057
17 1.202262068 0.6641510516 -2.618195836 -1.446338169 1.621507604 -1.656991813 1 10.55592482 5.831281511 2.234467596 -0.4835428057 0.8753207155 5.831281511 -10.55592482 -0.6181127258 0.8753207155 0.4835428057
18 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 -6.226058299 -10.32800034 2.234467596 -0.8564207114 0.5162785732 -10.32800034 6.226058299 -0.6181127258 0.5162785732 0.8564207114
19 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 -4.669543724 -7.746000252 2.234467596 -0.8564207114 0.5162785732 -7.746000252 4.669543724 -0.6181127258 0.5162785732 0.8564207114
20 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 -3.11302915 -5.164000168 2.234467596 -0.8564207114 0.5162785732 -5.164000168 3.11302915 -0.6181127258 0.5162785732 0.8564207114
21 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 -1.556514575 -2.582000084 2.234467596 -0.8564207114 0.5162785732 -2.582000084 1.556514575 -0.6181127258 0.5162785732 0.8564207114
22 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 0 0 2.234467596 -0.8564207114 0.5162785732 0 0 -0.6181127258 0.5162785732 0.8564207114
23 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 1.556514575 2.582000084 2.234467596 -0.8564207114 0.5162785732 2.582000084 -1.556514575 -0.6181127258 0.5162785732 0.8564207114
24 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 3.11302915 5.164000168 2.234467596 -0.8564207114 0.5162785732 5.164000168 -3.11302915 -0.6181127258 0.5162785732 0.8564207114
25 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 4.669543724 7.746000252 2.234467596 -0.8564207114 0.5162785732 7.746000252 -4.669543724 -0.6181127258 0.5162785732 0.8564207114
26 0.7091139673 1.176302717 -1.544255022 -2.561663515 2.232762684 -0.6242432021 1 6.226058299 10.32800034 2.234467596 -0.8564207114 0.5162785732 10.32800034 -6.226058299 -0.6181127258 0.5162785732 0.8564207114
27 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 -0.2279244847 -12.05733981 2.234467596 -0.999821379 0.01890000416 -12.05733981 0.2279244847 -0.6181127258 0.01890000416 0.999821379
28 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 -0.1709433635 -9.043004858 2.234467596 -0.999821379 0.01890000416 -9.043004858 0.1709433635 -0.6181127258 0.01890000416 0.999821379
29 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 -0.1139622424 -6.028669905 2.234467596 -0.999821379 0.01890000416 -6.028669905 0.1139622424 -0.6181127258 0.01890000416 0.999821379
30 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 -0.05698112118 -3.014334953 2.234467596 -0.999821379 0.01890000416 -3.014334953 0.05698112118 -0.6181127258 0.01890000416 0.999821379
31 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 0 0 2.234467596 -0.999821379 0.01890000416 0 0 -0.6181127258 0.01890000416 0.999821379
32 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 0.05698112118 3.014334953 2.234467596 -0.999821379 0.01890000416 3.014334953 -0.05698112118 -0.6181127258 0.01890000416 0.999821379
33 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 0.1139622424 6.028669905 2.234467596 -0.999821379 0.01890000416 6.028669905 -0.1139622424 -0.6181127258 0.01890000416 0.999821379
34 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 0.1709433635 9.043004858 2.234467596 -0.999821379 0.01890000416 9.043004858 -0.1709433635 -0.6181127258 0.01890000416 0.999821379
35 0.02595935146 1.373265019 -0.05653232162 -2.990593191 2.245750806 0.575770871 1 0.2279244847 12.05733981 2.234467596 -0.999821379 0.01890000416 12.05733981 -0.2279244847 -0.6181127258 0.01890000416 0.999821379
36 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 5.831281511 -10.55592482 2.234467596 -0.8753207155 -0.4835428057 -10.55592482 -5.831281511 -0.6181127258 -0.4835428057 0.8753207155
37 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 4.373461133 -7.916943615 2.234467596 -0.8753207155 -0.4835428057 -7.916943615 -4.373461133 -0.6181127258 -0.4835428057 0.8753207155
38 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 2.915640756 -5.27796241 2.234467596 -0.8753207155 -0.4835428057 -5.27796241 -2.915640756 -0.6181127258 -0.4835428057 0.8753207155
39 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 1.457820378 -2.638981205 2.234467596 -0.8753207155 -0.4835428057 -2.638981205 -1.457820378 -0.6181127258 -0.4835428057 0.8753207155
40 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 0 0 2.234467596 -0.8753207155 -0.4835428057 0 0 -0.6181127258 -0.4835428057 0.8753207155
41 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 -1.457820378 2.638981205 2.234467596 -0.8753207155 -0.4835428057 2.638981205 1.457820378 -0.6181127258 -0.4835428057 0.8753207155
42 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 -2.915640756 5.27796241 2.234467596 -0.8753207155 -0.4835428057 5.27796241 2.915640756 -0.6181127258 -0.4835428057 0.8753207155
43 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 -4.373461133 7.916943615 2.234467596 -0.8753207155 -0.4835428057 7.916943615 4.373461133 -0.6181127258 -0.4835428057 0.8753207155
44 -0.6641510516 1.202262068 1.446338169 -2.618195836 1.656991813 1.621507604 1 -5.831281511 10.55592482 2.234467596 -0.8753207155 -0.4835428057 10.55592482 5.831281511 -0.6181127258 -0.4835428057 0.8753207155
45 -1.176302717 0.7091139673 2.561663515 -1.544255022 0.6242432021 2.232762684 1 10.32800034 -6.226058299 2.234467596 -0.5162785732 -0.8564207114 -6.226058299 -10.32800034 -0.6181127258 -0.8564207114 0.5162785732
46 -1.176302717 0.7091139673 2.561663515 -1.544255022 0.6242432021 2.232762684 1 7.746000252 -4.669543724 2.234467596 -0.5162785732 -0.8564207114 -4.669543724 -7.746000252 -0.6181127258 -0.8564207114 0.5162785732
47 -1.176302717 0.7091139673 2.561663515 -1.544255022 0.6242432021 2.232762684 1 5.164000168 -3.11302915 2.234467596 -0.5162785732 -0.8564207114 -3.11302915 -5.164000168 -0.6181127258 -0.8564207114 0.5162785732
48 -1.176302717 0.7091139673 2.561663515 -1.544255022 0.6242432021 2.232762684 1 2.582000084 -1.556514575 2.234467596 -0.5162785732 -0.8564207114 -1.556514575 -2.582000084 -0.6181127258 -0.8564207114 0.5162785732
49 -1.176302717 0.7091139673 2.561663515 -1.544255022 0.6242432021 2.232762684 1 0 0 2.234467596 -0.5162785732 -0.8564207114 0 0 -0.6181127258 -0.8564207114 0.5162785732
