#ChipID #Ntracks #Status
0 15335 1
1 51584 1
2 84471 1
3 112288 1
4 128676 1
5 106321 1
6 76960 1
7 45047 1
8 15011 1
9 17926 1
10 56580 1
11 89612 1
12 115062 1
13 129725 1
14 108245 1
15 76507 1
16 43371 1
17 12579 1
18 16846 1
19 52773 1
20 84860 1
21 107430 1
22 123148 1
23 104948 1
24 73686 1
25 41816 1
26 12930 1
27 15345 1
28 49231 1
29 78601 1
30 95699 1
31 117178 1
32 66934 1
33 65600 1
34 36469 1
35 9110 1
36 15651 1
37 51260 1
38 85515 1
39 114012 1
40 128289 1
41 112099 1
42 79772 1
43 40589 1
44 11830 1
45 11008 1
46 46524 1
47 79481 1
48 109226 1
49 127201 1
50 109970 1
51 78650 1
52 44215 1
53 12780 1
54 16005 1
55 50918 1
56 84495 1
57 113911 1
58 129272 1
59 113045 1
60 83092 1
61 48841 1
62 15511 1
63 18712 1
64 58665 1
65 97046 1
66 129732 1
67 148294 1
68 124819 1
69 90106 1
70 52022 1
71 15505 1
72 13868 1
73 53264 1
74 90048 1
75 120527 1
76 131728 1
77 115688 1
78 82769 1
79 47040 1
80 7051 1
81 13537 1
82 56102 1
83 94516 1
84 127154 1
85 141744 1
86 122562 1
87 87872 1
88 50005 1
89 14553 1
90 16269 1
91 57649 1
92 94779 1
93 127904 1
94 142743 1
95 120113 1
96 85924 1
97 48718 1
98 15279 1
99 15652 1
100 49924 1
101 84538 1
102 114085 1
103 129380 1
104 112937 1
105 82620 1
106 49250 1
107 15554 1
108 18670 1
109 44292 1
110 69704 1
111 89859 1
112 99094 1
113 84733 1
114 61287 1
115 36200 1
116 15116 1
117 18653 1
118 43783 1
119 67314 1
120 85125 1
121 94271 1
122 78454 1
123 55598 1
124 33434 1
125 14011 1
126 17616 1
127 41514 1
128 64158 1
129 74055 1
130 91037 1
131 79372 1
132 59111 1
133 35498 1
134 13643 1
135 16190 1
136 39657 1
137 62375 1
138 79070 1
139 86457 1
140 76340 1
141 54158 1
142 31876 1
143 12066 1
144 15823 1
145 37793 1
146 57351 1
147 72650 1
148 79601 1
149 66560 1
150 47470 1
151 27914 1
152 10904 1
153 15937 1
154 40323 1
155 63395 1
156 81366 1
157 89370 1
158 78914 1
159 56598 1
160 33452 1
161 11610 1
162 16353 1
163 40657 1
164 66646 1
165 87410 1
166 98066 1
167 86141 1
168 65700 1
169 38587 1
170 13127 1
171 13910 1
172 40873 1
173 67371 1
174 86483 1
175 97281 1
176 85095 1
177 62162 1
178 37255 1
179 11823 1
180 16876 1
181 41976 1
182 67614 1
183 88962 1
184 98563 1
185 88036 1
186 66212 1
187 40671 1
188 15989 1
189 18305 1
190 45065 1
191 71033 1
192 92138 1
193 103403 1
194 89162 1
195 66436 1
196 40518 1
197 16247 1
198 16676 1
199 42116 1
200 69139 1
201 91636 1
202 102558 1
203 90551 1
204 67396 1
205 40373 1
206 15583 1
207 14979 1
208 42168 1
209 68164 1
210 88579 1
211 96312 1
212 85383 1
213 62331 1
214 36717 1
215 14348 1
216 14587 1
217 42397 1
218 69001 1
219 91049 1
220 100479 1
221 88155 1
222 65532 1
223 39297 1
224 15496 1
225 17845 1
226 45169 1
227 71746 1
228 93919 1
229 104245 1
230 88266 1
231 64355 1
